SKU编号,商品名称,仓库,当前库存,在途数量,安全库存水位,库存状态
A001,爆款玻尿酸面膜,华东主仓,8500,3000,6000,🟢 充裕
A001,爆款玻尿酸面膜,华南分仓,3200,1500,3000,🟢 充裕
A001,爆款玻尿酸面膜,华北分仓,1800,800,2000,🟢 正常
A002,美白精华液30ml,华东主仓,2800,1200,2500,🟢 充裕
A002,美白精华液30ml,华南分仓,1100,500,1200,🟢 正常
A002,美白精华液30ml,华北分仓,600,300,800,🟢 正常
A003,氨基酸洁面乳120g,华东主仓,3200,1000,2500,🟢 充裕
A003,氨基酸洁面乳120g,华南分仓,1400,400,1200,🟢 充裕
A003,氨基酸洁面乳120g,华北分仓,800,200,800,🟢 正常
A004,烟酰胺原液15ml,华东主仓,1500,800,2000,🟢 正常
A004,烟酰胺原液15ml,华南分仓,600,300,1000,🟡 低于安全线
A004,烟酰胺原液15ml,华北分仓,350,150,600,🟡 低于安全线
A005,防晒霜SPF50+ 50ml,华东主仓,12000,5000,8000,🟢 充裕
A005,防晒霜SPF50+ 50ml,华南分仓,4500,2000,4000,🟢 充裕
A005,防晒霜SPF50+ 50ml,华北分仓,2800,1200,2500,🟢 充裕
B001,补水面膜10片装,华东主仓,1200,400,1000,🟢 充裕
B001,补水面膜10片装,华南分仓,500,200,500,🟢 正常
B001,补水面膜10片装,华北分仓,300,100,300,🟢 正常
B002,眼霜15ml,华东主仓,800,200,600,🟢 充裕
B002,眼霜15ml,华南分仓,300,100,300,🟢 正常
B002,眼霜15ml,华北分仓,150,50,200,🟢 正常
B003,身体乳250ml,华东主仓,600,200,500,🟢 充裕
B003,身体乳250ml,华南分仓,250,100,250,🟢 正常
B003,身体乳250ml,华北分仓,120,50,150,🟢 正常
B004,卸妆水500ml,华东主仓,150,50,300,🟡 低于安全线
B004,卸妆水500ml,华南分仓,60,20,150,🟡 低于安全线
B004,卸妆水500ml,华北分仓,30,10,80,🟡 低于安全线
B005,护手霜50g,华东主仓,50,0,100,🟡 低于安全线
B005,护手霜50g,华南分仓,20,0,50,🔴 严重不足
B005,护手霜50g,华北分仓,10,0,30,🔴 严重不足
C001,化妆棉200片,华东主仓,400,100,300,🟢 充裕
C001,化妆棉200片,华南分仓,150,50,150,🟢 正常
C002,唇膜5g,华东主仓,100,30,150,🟡 低于安全线
C002,唇膜5g,华南分仓,40,10,80,🟡 低于安全线
C003,指甲油12ml,华东主仓,60,20,80,🟢 正常
C003,指甲油12ml,华南分仓,25,5,40,🟡 低于安全线
C004,发膜200ml,华东主仓,120,40,100,🟢 充裕
C004,发膜200ml,华南分仓,50,15,50,🟢 正常
C005,沐浴球,华东主仓,40,10,50,🟢 正常
