日期,SKU编号,商品名称,销量,单价,销售额,活动标记
2025-07-01,A001,爆款玻尿酸面膜,261,89.0,23229.0,日常
2025-07-01,A002,美白精华液30ml,118,199.0,23482.0,日常
2025-07-01,A003,氨基酸洁面乳120g,94,69.0,6486.0,日常
2025-07-01,A004,烟酰胺原液15ml,92,149.0,13708.0,日常
2025-07-01,A005,防晒霜SPF50+ 50ml,152,129.0,19608.0,日常
2025-07-01,B001,补水面膜10片装,37,59.0,2183.0,日常
2025-07-01,B002,眼霜15ml,31,169.0,5239.0,日常
2025-07-01,B003,身体乳250ml,24,79.0,1896.0,日常
2025-07-01,B004,卸妆水500ml,19,49.0,931.0,日常
2025-07-01,B005,护手霜50g,5,35.0,175.0,日常
2025-07-01,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-01,C002,唇膜5g,9,45.0,405.0,日常
2025-07-01,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-01,C004,发膜200ml,4,55.0,220.0,日常
2025-07-01,C005,沐浴球,3,15.0,45.0,日常
2025-07-02,A001,爆款玻尿酸面膜,234,89.0,20826.0,日常
2025-07-02,A002,美白精华液30ml,124,199.0,24676.0,日常
2025-07-02,A003,氨基酸洁面乳120g,110,69.0,7590.0,日常
2025-07-02,A004,烟酰胺原液15ml,85,149.0,12665.0,日常
2025-07-02,A005,防晒霜SPF50+ 50ml,152,129.0,19608.0,日常
2025-07-02,B001,补水面膜10片装,48,59.0,2832.0,日常
2025-07-02,B002,眼霜15ml,25,169.0,4225.0,日常
2025-07-02,B003,身体乳250ml,24,79.0,1896.0,日常
2025-07-02,B004,卸妆水500ml,21,49.0,1029.0,日常
2025-07-02,B005,护手霜50g,6,35.0,210.0,日常
2025-07-02,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-02,C002,唇膜5g,8,45.0,360.0,日常
2025-07-02,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-02,C004,发膜200ml,4,55.0,220.0,日常
2025-07-02,C005,沐浴球,3,15.0,45.0,日常
2025-07-03,A001,爆款玻尿酸面膜,284,89.0,25276.0,日常
2025-07-03,A002,美白精华液30ml,98,199.0,19502.0,日常
2025-07-03,A003,氨基酸洁面乳120g,65,69.0,4485.0,日常
2025-07-03,A004,烟酰胺原液15ml,79,149.0,11771.0,日常
2025-07-03,A005,防晒霜SPF50+ 50ml,137,129.0,17673.0,日常
2025-07-03,B001,补水面膜10片装,50,59.0,2950.0,日常
2025-07-03,B002,眼霜15ml,32,169.0,5408.0,日常
